route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
60-2256,GLINE_2-S1-Sa-Saturday-03,57943434-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421915,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943435-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421913,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943436-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421911,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943437-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421910,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943438-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421908,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943439-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421915,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943440-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421913,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943441-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421909,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943742-GLINE_2-S1-Sa-Saturday-03,"to Westwood Village",1,6421908,S1-Sa03-60-s1-1
60-2256,GLINE_2-S1-Sa-Saturday-03,57943743-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421914,S1-Sa03-60-n1-0
60-2256,GLINE_2-S1-Sa-Saturday-03,57943744-GLINE_2-S1-Sa-Saturday-03,"to Westwood Village",1,6421914,S1-Sa03-60-s1-1
60-2256,GLINE_2-S1-Sa-Saturday-03,57943745-GLINE_2-S1-Sa-Saturday-03,"to Westwood Village",1,6421912,S1-Sa03-60-s1-1
60-2256,GLINE_2-S1-Sa-Saturday-03,57943746-GLINE_2-S1-Sa-Saturday-03,"to Broadway",0,6421911,S1-Sa03-60-n1-0
